
287,DFS,Discover Financial Services,26.39B,105.52,-2.51%,10.42B
288,CBRE,"CBRE Group, Inc.",26.31B,86.31,-0.44%,31.19B
289,ZBH,"Zimmer Biomet Holdings, Inc.",26.22B,125.60,2.64%,7.28B
290,HIG,"The Hartford Financial Services Group, Inc.",26.15B,86.96,-0.76%,24.14B
291,MTD,Mettler-Toledo International Inc.,25.96B,"1,197.19",-3.26%,3.91B
292,EIX,Edison International,25.88B,67.48,0.25%,16.65B
293,WEC,"WEC Energy Group, Inc.",25.47B,80.76,-,9.23B
294,WTW,Willis Towers Watson PLC,25.43B,246.30,-0.60%,9.29B
295,AVB,"AvalonBay Communities, Inc.",25.42B,179.01,0.32%,2.73B
296,DAL,"Delta Air Lines, Inc.",25.19B,39.14,-0.96%,58.05B
297,CHD,"Church & Dwight Co., Inc.",24.60B,99.85,-0.65%,5.78B
298,WBD,"Warner Bros. Discovery, Inc.",24.43B,10.02,-0.79%,42.05B
299,ULTA,"Ulta Beauty, Inc.",24.38B,502.05,-1.32%,10.88B
300,TSCO,Tractor Supply Company,24.28B,224.60,-1.40%,14.90B
301,TROW,"T. Rowe Price Group, Inc.",24.24B,108.45,-2.92%,6.34B
302,SBAC,SBA Communications Corporation,24.15B,223.86,0.34%,2.72B
303,AWK,"American Water Works Company, Inc.",24.15B,124.02,-0.31%,4.13B
304,BR,"Broadridge Financial Solutions, Inc.",24.02B,204.20,-2.28%,6.21B
305,WY,Weyerhaeuser Company,23.91B,32.77,-0.97%,7.72B
306,WAB,Westinghouse Air Brake Technologies Corporation,23.57B,131.57,-0.84%,9.46B
307,FITB,Fifth Third Bancorp,23.32B,34.24,-3.19%,8.22B
308,HWM,Howmet Aerospace Inc.,23.16B,56.26,0.50%,6.42B
309,RJF,"Raymond James Financial, Inc.",23.12B,110.18,-2.92%,11.62B
310,APTV,Aptiv PLC,23.01B,81.33,-6.22%,19.77B
311,MTB,M&T Bank Corporation,22.92B,138.10,-3.92%,9.34B
312,GRMN,Garmin Ltd.,22.86B,119.49,-1.94%,5.05B
313,EQR,Equity Residential,22.86B,60.19,1.50%,2.87B
